--- FICHAS TÉCNICAS ---
ID;Nome;Categoria;Preço ($);Custo ($);CMV (%)
1;Pink Flamingo;Signature;22.0;4.66;21.2
2;The Surf Lodge Seasonal Tequila;Signature;24.0;4.81;20.03
3;Sun Drop;Zero-Proof;18.0;3.86;21.43

--- FUNCIONÁRIOS ---
ID;Nome;Cargo
1;João Silva;Bartender
2;Maria Santos;Bartender
3;Carlos Oliveira;Garçom

--- VENDAS ---
ID;Data;Drink;Qtd;Funcionário;Local
1;2026-05-16 04:45;Sun Drop;2;Maria Santos;Pool Bar
2;2026-05-17 10:45;The Surf Lodge Seasonal Tequila;3;Carlos Oliveira;Restaurante
3;2026-05-20 07:45;Sun Drop;2;João Silva;Beach Club
4;2026-05-20 07:45;Sun Drop;1;Carlos Oliveira;Beach Club
5;2026-05-15 13:45;The Surf Lodge Seasonal Tequila;1;Maria Santos;Pool Bar
6;2026-05-22 01:45;Sun Drop;2;Maria Santos;Restaurante
7;2026-05-22 10:45;Pink Flamingo;2;Carlos Oliveira;Beach Club
8;2026-05-22 05:45;Pink Flamingo;5;Maria Santos;Pool Bar
9;2026-05-19 08:45;Pink Flamingo;5;Maria Santos;Pool Bar
10;2026-05-16 04:45;Sun Drop;4;João Silva;Restaurante
11;2026-05-15 11:45;Sun Drop;1;João Silva;Beach Club
12;2026-05-18 12:45;Pink Flamingo;3;Maria Santos;Pool Bar
13;2026-05-21 08:45;The Surf Lodge Seasonal Tequila;4;João Silva;Pool Bar
14;2026-05-16 07:45;Pink Flamingo;1;João Silva;Beach Club
15;2026-05-22 12:45;Pink Flamingo;2;João Silva;Pool Bar
16;2026-05-17 13:45;Pink Flamingo;5;Carlos Oliveira;Beach Club
17;2026-05-19 07:45;Sun Drop;3;Carlos Oliveira;Restaurante
18;2026-05-18 05:45;Sun Drop;2;João Silva;Restaurante
19;2026-05-18 08:45;The Surf Lodge Seasonal Tequila;4;João Silva;Beach Club
20;2026-05-19 12:45;Sun Drop;1;Carlos Oliveira;Pool Bar
21;2026-05-19 03:45;Sun Drop;1;Carlos Oliveira;Restaurante
22;2026-05-19 10:45;Sun Drop;2;Carlos Oliveira;Restaurante
23;2026-05-22 03:45;Sun Drop;1;Carlos Oliveira;Beach Club
24;2026-05-20 12:45;Sun Drop;1;Carlos Oliveira;Beach Club
25;2026-05-19 02:45;Sun Drop;1;Maria Santos;Beach Club
26;2026-05-16 04:45;Sun Drop;4;Carlos Oliveira;Restaurante
27;2026-05-17 04:45;Sun Drop;1;João Silva;Beach Club
28;2026-05-22 08:45;The Surf Lodge Seasonal Tequila;2;João Silva;Beach Club
29;2026-05-16 13:45;The Surf Lodge Seasonal Tequila;3;Maria Santos;Pool Bar
30;2026-05-19 12:45;Sun Drop;5;Maria Santos;Beach Club
31;2026-05-18 03:45;Sun Drop;4;Maria Santos;Restaurante
32;2026-05-20 12:45;Pink Flamingo;4;João Silva;Pool Bar
33;2026-05-16 08:45;Pink Flamingo;1;João Silva;Pool Bar
34;2026-05-17 07:45;Pink Flamingo;5;Maria Santos;Restaurante
35;2026-05-20 03:45;Pink Flamingo;3;Maria Santos;Beach Club
36;2026-05-20 06:45;Pink Flamingo;4;Carlos Oliveira;Pool Bar
37;2026-05-16 08:45;The Surf Lodge Seasonal Tequila;2;João Silva;Pool Bar
38;2026-05-19 03:45;Pink Flamingo;3;Carlos Oliveira;Pool Bar
39;2026-05-16 08:45;The Surf Lodge Seasonal Tequila;4;Carlos Oliveira;Beach Club
40;2026-05-22 08:45;The Surf Lodge Seasonal Tequila;2;João Silva;Restaurante
41;2026-05-18 12:45;Pink Flamingo;5;João Silva;Restaurante
42;2026-05-19 12:45;Sun Drop;3;Maria Santos;Beach Club
43;2026-05-16 02:45;Sun Drop;5;Maria Santos;Restaurante
44;2026-05-21 06:45;The Surf Lodge Seasonal Tequila;1;Carlos Oliveira;Restaurante
45;2026-05-15 04:45;Sun Drop;4;Maria Santos;Restaurante
46;2026-05-19 04:45;Pink Flamingo;2;João Silva;Pool Bar
47;2026-05-17 10:45;Pink Flamingo;1;Maria Santos;Pool Bar
48;2026-05-15 07:45;Pink Flamingo;2;Maria Santos;Pool Bar
49;2026-05-21 01:45;Sun Drop;3;João Silva;Beach Club
50;2026-05-18 11:45;Sun Drop;4;Maria Santos;Beach Club
